age,balance,created_date,credit_score,gender,income,last_login_date,marital_status,region,transaction_amount
50 - 60,11848.37,2024-01-10,738,F,100899.98,2024-08-07,Single,Other,75.93
60 - 70,9391.78,2024-03-10,308,M,47236.82,2024-10-17,Married,Other,300.32
60 - 70,28376.25,2024-02-02,520,F,37950.47,2024-12-18,Divorced,Other,48.69
20 - 30,19767.01,2024-10-09,740,F,53744.23,2024-06-30,Married,Southeast,187.64
60 - 70,18189.11,2024-04-21,831,M,50646.32,2024-09-14,Single,Other,111.8
20 - 30,21818.3,2024-08-01,533,F,33080.81,2024-09-16,Married,North,167.46
40 - 50,17489.25,2024-04-22,784,M,19733.61,2024-07-29,Widowed,South,250.04
20 - 30,10169.66,2024-01-02,663,F,44024.09,2024-08-05,Married,North,271.91
60 - 70,29989.8,2024-06-05,495,M,109729.79,2024-11-11,Divorced,Central,121.15
20 - 30,17087.6,2024-12-15,564,M,46127.84,2024-07-09,Single,Southeast,121.02
70 - 80,14515.93,2024-12-13,763,F,102723.2,2024-09-02,Married,Southeast,18.44
30 - 40,17999.85,2024-04-07,627,F,37667.85,2024-08-05,Single,Southeast,278.76
40 - 50,18934.85,2024-06-08,746,M,123803.99,2024-07-24,Divorced,Central,11.27
40 - 50,9626.93,2024-10-30,340,F,39378.06,2024-11-27,Widowed,Other,260.31
30 - 40,16711.57,2024-06-13,435,F,29442.04,2024-10-08,Single,North,41.62
70 - 80,,2024-09-25,463,M,27376.7,2024-09-18,Single,Other,17.37
30 - 40,7915.79,2024-06-05,804,M,32577.36,2024-08-20,Married,Southeast,695.46
60 - 70,18672.41,2024-07-27,485,M,86802.64,2024-11-04,Widowed,South,191.6
40 - 50,12079.43,2024-04-03,583,M,30577.71,2024-08-16,Single,South,451.62
30 - 40,30280.03,2024-06-17,688,F,21127.24,2025-01-02,Married,Southeast,80.6
50 - 60,-3149.38,2024-07-01,837,F,67932.85,2024-10-23,Single,South,24.56
60 - 70,-1361.32,2024-01-29,836,F,21350.22,2024-12-04,Divorced,Other,206.28
70 - 80,7030.94,2024-06-19,670,M,87491.47,2024-07-16,Married,Other,218.83
60 - 70,5356.99,2024-09-25,632,F,105392.81,2024-12-07,Single,North,268.22
70 - 80,7882.74,2024-07-05,358,M,19951.28,2024-09-21,Married,Midlands,14.94
50 - 60,5868.31,2024-04-27,849,M,75499.84,2024-08-11,Married,West,284.68
70 - 80,13834.28,2024-09-20,436,M,86180.18,2024-10-28,UNKNOWN,West,71.08
40 - 50,19750.44,2024-05-10,809,F,74445.3,2024-11-23,Single,Central,337.73
30 - 40,21705.46,2024-07-22,803,F,113200.39,2024-10-15,Single,Midlands,46.11
60 - 70,14279.48,2024-05-31,390,M,57671.31,2024-09-10,Married,South,118.8
50 - 60,23575.56,2024-12-21,719,M,64829.53,2024-11-01,Married,Other,180.55
50 - 60,21156.49,2024-06-17,454,M,34555.27,2025-01-03,Married,Other,116.83
20 - 30,31951.54,2024-05-16,542,M,18325.32,2024-10-10,Married,South,283.5
40 - 50,12339.27,2024-10-30,480,M,21937.23,2024-09-12,Married,Other,669.34
60 - 70,11530.75,2024-05-06,624,M,20434.42,2024-07-24,Married,South,57.29
60 - 70,7107.29,2024-10-29,560,M,49080.04,2024-09-09,Married,Southeast,28.31
30 - 40,11059.23,2024-08-02,470,M,53483.47,2024-09-29,Single,West,237.72
60 - 70,20630.22,2024-04-22,647,M,43165.87,2024-12-27,Single,South,300.37
50 - 60,15448.06,2024-04-14,409,F,42822.36,2024-08-08,Single,Other,49.05
70 - 80,7358.6,2024-07-27,721,F,45961.45,2024-11-12,Married,Other,4.75
70 - 80,30467.37,2025-01-05,514,F,20220.0,2024-09-05,Single,Other,383.18
50 - 60,5305.42,2024-03-07,567,F,33854.0,2024-09-08,Single,Other,352.78
60 - 70,5719.03,2024-09-22,594,F,33402.42,2024-11-17,Single,Central,42.74
20 - 30,13592.88,2024-11-27,430,M,39973.52,2024-12-11,Single,Central,101.51
30 - 40,-819.46,2024-08-01,581,F,96081.75,2024-09-27,Widowed,Midlands,941.16
60 - 70,-1182.31,2024-10-08,844,F,123101.09,2024-06-28,Married,North,32.12
40 - 50,15508.06,2024-06-11,543,M,60428.2,2024-10-01,Single,Other,403.21
20 - 30,17301.58,2024-11-09,361,M,59764.07,2024-10-24,Married,Southeast,13.16
70 - 80,22809.67,2024-01-01,385,F,20222.23,2024-12-01,Divorced,Other,37.9
50 - 60,29197.12,2024-03-31,775,M,34891.26,2024-08-14,UNKNOWN,West,6.63
70 - 80,23018.0,2024-07-15,437,M,119959.96,2024-07-05,Divorced,Midlands,1272.47
50 - 60,10331.09,2024-02-29,331,F,45033.59,2024-08-18,Single,North,217.85
70 - 80,21006.07,2024-07-26,490,F,43915.56,2024-09-01,Married,Other,138.51
40 - 50,15730.09,2024-07-02,515,F,113809.78,2024-08-23,Single,Central,170.85
30 - 40,19491.36,2024-01-25,719,F,65851.31,2024-12-03,Single,Midlands,30.62
